war_total,next_season_war_total,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
0.789149751,NA,Steve Kerr,kerrst01,2003,1893,998,-0.126279908,-1.076291651,-1.202571559,0.582602464,0.206547287,-0.399962064,-1.719080093,-2.119042158,-0.30316445400000003,SAS,37,185.42,81.64656,Arizona,USA,1988,2,50,75,4,0.8,0.9,1.7,0.015,0.05599999999999999,0.14800000000000002,0.552,0.128
-0.462726709,3.360648473,Steve Nash,nashst01,1997,1373,699,-1.432838503,-2.599385727,-4.03222423,-0.403799957,-0.058926752,-1.677555607,-2.674337748,-4.351893355,0.497734561,PHX,23,190.5,88.45044,Santa Clara,World,1996,1,15,65,3.3,1,2.1,-8.5,0.026,0.083,0.17,0.539,0.301
3.360648473,1.144365897,Steve Nash,nashst01,1998,3303,1715,1.639181923,-0.551452575,1.087729348,3.267802258,0.092846216,1.508053211,-0.523356307,0.984696903,-0.001666055,PHX,24,190.5,88.45044,Santa Clara,World,1996,1,15,76,9.1,2.1,3.4,8.1,0.023,0.08900000000000001,0.195,0.556,0.249
1.144365897,1.653863735,Steve Nash,nashst01,1999,2380,1269,0.909559521,-1.888280911,-0.97872139,1.144365897,0,0.855686705,-1.265991965,-0.41030526,-0.191283212,DAL,25,190.5,88.45044,Santa Clara,World,1996,1,15,40,7.9,2.9,5.5,-1,0.02799999999999999,0.073,0.151,0.471,0.26899999999999996
1.653863735,8.057312608,Steve Nash,nashst01,2000,3064,1532,1.878751792,-2.506118279,-0.627366487,1.653863735,0,1.496249774,-2.325350327,-0.829100553,-0.297724816,DAL,26,190.5,88.45044,Santa Clara,World,1996,1,15,56,8.6,2.2,4.9,3.9,0.025,0.062,0.14800000000000002,0.601,0.252
8.057312608,10.71645694,Steve Nash,nashst01,2001,5378,2757,4.326668752,-1.327325343,2.999343409,7.255474921,0.801837688,4.06139987,-1.401311362,2.660088509,-0.449563629,DAL,27,190.5,88.45044,Santa Clara,World,1996,1,15,70,15.6,3.2,7.3,6.5,0.023,0.078,0.211,0.603,0.335
10.71645694,11.04243347,Steve Nash,nashst01,2002,6204,3160,5.295462519,-1.371346108,3.924116412,9.660839834,1.055617105,5.173125377,-1.688804578,3.484320798,-0.670503285,DAL,28,190.5,88.45044,Santa Clara,World,1996,1,15,82,17.9,3.1,7.7,5.2,0.02,0.077,0.23,0.602,0.355
11.04243347,8.40865393,Steve Nash,nashst01,2003,6716,3440,5.364861063,-1.804780773,3.56008029,9.260433978,1.781999492,5.227599544,-1.690874189,3.536725355,-0.759047163,DAL,29,190.5,88.45044,Santa Clara,World,1996,1,15,82,17.8,2.9,7.3,10.3,0.026,0.07,0.242,0.5760000000000001,0.35100000000000003
8.40865393,13.76455241,Steve Nash,nashst01,2004,5530,2809,5.134495508,-1.976612268,3.15788324,7.946243345,0.462410585,4.817822392,-2.075039832,2.74278256,-0.828353937,DAL,30,190.5,88.45044,Santa Clara,World,1996,1,15,78,14.5,3,8.8,4.7,0.024,0.073,0.193,0.59,0.37
13.76455241,14.99529771,Steve Nash,nashst01,2005,6410,3183,7.296740757,-1.541472378,5.755268379,10.81293737,2.95161504,6.814882796,-1.720810814,5.094071982,-0.949360772,PHX,31,190.5,88.45044,Santa Clara,World,1996,1,15,75,15.5,3.3,11.5,13.3,0.025,0.078,0.205,0.606,0.46
