war_total,next_season_war_total,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
0.035336598,0.007257403,Tarence Kinsey,kinseta01,2008,193,96,-1.902363407,-0.128656627,-2.031020034,0.035336598,0,-2.398486061,-0.52425198,-2.922738041,0.322871788,MEM,24,198.12,81.19296800000001,South Carolina,USA,Undrafted,U,NA,11,3.6,1.1,0.2,2.3,0.035,0.093,0.197,0.4920000000000001,0.038
0.007257403,NA,Tarence Kinsey,kinseta01,2009,538,288,-2.021681695,-0.68649291,-2.708174605,-0.009393442,0.016650845,-2.275838385,-1.319280943,-3.595119328,0.826553619,CLE,25,198.12,85.728888,South Carolina,USA,Undrafted,U,NA,50,2,0.8,0.2,-4.6,0.047,0.112,0.18,0.595,0.062
0.060868952,0.893558402,Tarik Black,blackta01,2015,2340,1196,-1.415111482,-1.243786914,-2.658898396,0.060868952,0,-2.628601186,-0.781188643,-3.409789829,-0.949363192,LAL,23,210.82,116.573144,Kansas,USA,Undrafted,U,NA,63,6,5.8,0.7,-2.8,0.131,0.229,0.141,0.583,0.059
0.893558402,2.23936778,Tarik Black,blackta01,2016,1001,496,-2.852703953,3.640074762,0.787370809,0.893558402,0,-3.43837589,1.882480643,-1.555895246,-0.175279857,LAL,24,205.74,113.398,Kansas,USA,Undrafted,U,NA,39,3.4,4,0.4,0.7,0.1,0.257,0.13,0.537,0.053
2.23936778,-0.111963642,Tarik Black,blackta01,2017,2269,1091,-1.101728534,2.36947127,1.267742737,2.23936778,0,-1.491090314,1.955953651,0.464863337,0.130657032,LAL,25,205.74,113.398,Kansas,USA,Undrafted,U,NA,67,5.7,5.1,0.6,-1.9,0.138,0.202,0.154,0.56,0.052
-0.111963642,NA,Tarik Black,blackta01,2018,1173,555,-4.382987059,1.231836725,-3.151150335,0.019938725,-0.131902367,-2.584906472,1.172103478,-1.412802994,0.751167613,HOU,26,205.74,113.398,Kansas,USA,Undrafted,U,NA,51,3.5,3.2,0.3,-7.3,0.108,0.181,0.147,0.5820000000000001,0.042
-1.048298791,0.536422625,Tariq Abdul-Wahad,abdulta01,1998,1861,959,-3.704132947,-1.187281304,-4.891414251,-1.048298791,0,-3.771389422,-1.663344623,-5.434734046,0.047412282,SAC,23,198.12,101.151016,San Jose State,World,1997,1,11,59,6.4,2,0.9,-7,0.048,0.085,0.217,0.456,0.087
0.536422625,0.876071324,Tariq Abdul-Wahad,abdulta01,1999,2623,1304,-1.73083935,-0.257224346,-1.988063696,0.20445891,0.331963715,-2.049144104,-0.06478221,-2.113926314,-0.018855653,SAC,24,198.12,101.151016,San Jose State,World,1997,1,11,49,9.3,3.8,1,-2.7,0.062,0.098,0.188,0.486,0.062
0.876071324,-0.758929606,Tariq Abdul-Wahad,abdulta01,2000,3215,1578,-1.188052351,-0.457693754,-1.645746105,0.876071324,0,-1.310627115,-0.196092534,-1.506719649,0.018992288,DEN,25,198.12,101.151016,San Jose State,World,1997,1,11,61,11.4,4.8,1.6,-1.6,0.067,0.126,0.218,0.477,0.098
-0.758929606,-0.056545837,Tariq Abdul-Wahad,abdulta01,2001,820,420,-5.303661332,-0.963653309,-6.267314641,-0.758929606,0,-5.359759732,-1.405260424,-6.765020156,0.640189941,DEN,26,198.12,101.151016,San Jose State,World,1997,1,11,29,3.8,2,0.8,-7.9,0.035,0.119,0.17,0.43799999999999994,0.087
